timestamp,symbol,clean_text,original_sentiment,nlp_label,nlp_score
2026-06-14 13:51 ET,ROKU,"ath is 460, damn long way to go.",Bullish,neutral,0.8949
2026-06-14 13:51 ET,ROKU,"is nearly 50 of my portfolio right now and avg cost of 70 and i didn39t think about selling and likely won39t unless this goes past 200 soon or there39s news of an agreed upon sale lower than that, which would be disappointing. i can39t believe anthony wood",Bullish,bearish,0.7419
2026-06-14 13:51 ET,ROKU,ooops. your furu forgot to mention before the pump last week what a chad.,None,bearish,0.5729
2026-06-14 13:51 ET,ROKU,classic,Bearish,neutral,0.8269
2026-06-14 13:51 ET,ROKU,roku tanking,Bearish,neutral,0.8375
2026-06-14 13:51 ET,ROKU,massive news next week!!!!!,None,neutral,0.8885
2026-06-14 13:51 ET,ROKU,your day trading watch list for june 15th in 2 minutes .,None,neutral,0.9159
2026-06-14 13:51 ET,ROKU,"roku continues to grow despite, what many may consider unfair trade practices by google. i understand google uses its brute financial power by paying costco to keep the likes of roku tvs out of costco. google39s infinite financial pockets are seemingly able to steer or",None,neutral,0.4899
2026-06-14 13:51 ET,ROKU,"20 on takeover speculation. momentum is clearly reacting to the headline. potential strategic buyers being floated , , -all need scale in streaming distribution, and roku brings 100m users into the equation. but theres a key structural detail most",None,neutral,0.833
2026-06-14 13:51 ET,ROKU,take y39all profits!! monday this will tank imo,Bearish,bearish,0.6008
2026-06-14 15:56 ET,AMGN,"dragonfly capital - 5 trade ideas for monday ally, amgen, ge aerospace, intel and jp morgan and early summe discount!",None,neutral,0.8901
2026-06-14 15:56 ET,AMGN,the someone of great influence is the saudies... they are the largest holders of and they got those two idiots at the fda fired...,Bullish,bearish,0.8094
2026-06-14 15:56 ET,AMGN,"patience is going to be the primary requirement if you want to have successful outcome with this outfit... we see very few discussions as it relates to a buyout of this issue... after having been in this jizz-bizz for over 60 years, i see all the signs of a potential buy",Bullish,neutral,0.7423
2026-06-14 15:56 ET,AMGN,anyone here know when cvot data will be released for lp with a little a ? it39s going to be a blockbuster!,Bullish,neutral,0.9149
2026-06-14 15:56 ET,AMGN,,None,neutral,0.0
2026-06-14 15:56 ET,AMGN,it39s coming. it39ll be a blockbuster.,Bullish,neutral,0.7611
2026-06-14 15:56 ET,AMGN,abbvie reports promising new clinical updates. here39s what it means for the company39s dividend,None,neutral,0.9065
2026-06-14 15:56 ET,AMGN,bullish above the stomach candlestick pattern formed,Bullish,neutral,0.7723
2026-06-14 15:56 ET,AMGN,this is gonna rip higher in the coming days. it39s coming out of that slow rolling base with a break of the descending trend line and a successful retest on higher volume.,Bullish,bullish,0.9112
