timestamp,symbol,price,change_pct,volume
2026-06-19 13:29 ET,ACON,3.12,0.32%,227837
2026-06-19 13:29 ET,AIBZ,9.02,2.85%,661527
2026-06-19 13:29 ET,ALOT,28.57,0.78%,1027282
2026-06-19 13:29 ET,ARDX,6.05,3.60%,9839094
2026-06-19 13:29 ET,BFLY,8.90,55.87%,60481423
2026-06-19 13:29 ET,CAT,985.82,3.13%,6175063
2026-06-19 13:29 ET,DIS,103.89,3.00%,22943658
2026-06-19 13:29 ET,HQ,32.00,35.54%,8691692
2026-06-19 13:29 ET,MRNA,63.96,3.50%,24078835
2026-06-19 13:29 ET,QS,8.04,16.52%,85585773
2026-06-19 13:29 ET,UUUU,16.56,8.24%,28609661
2026-06-19 13:29 ET,AAT,24.05,0.84%,940163
2026-06-19 13:29 ET,ABCB,87.59,1.84%,1381698
2026-06-19 13:29 ET,ABG,197.05,3.64%,530178
2026-06-19 13:29 ET,ABNB,142.41,1.33%,7413230
2026-06-19 13:29 ET,ABTC,0.85,0.90%,37288197
2026-06-19 13:29 ET,ABUS,4.55,2.71%,5045877
2026-06-19 13:29 ET,ACA,135.84,2.04%,686892
2026-06-19 13:29 ET,ACH,3.23,2.22%,2196336
2026-06-19 13:29 ET,ACLO,50.42,0.09%,135092
2026-06-20 14:05 ET,ACON,3.12,0.32%,227837
2026-06-20 14:05 ET,AIBZ,9.02,2.85%,661527
2026-06-20 14:05 ET,ALOT,28.57,0.78%,1027282
2026-06-20 14:05 ET,ARDX,6.05,3.60%,9839094
2026-06-20 14:05 ET,BFLY,8.90,55.87%,60481423
2026-06-20 14:05 ET,CAT,985.82,3.13%,6175063
2026-06-20 14:05 ET,DIS,103.89,3.00%,22943658
2026-06-20 14:05 ET,HQ,32.00,35.54%,8691692
2026-06-20 14:05 ET,MRNA,63.96,3.50%,24078835
2026-06-20 14:05 ET,QS,8.04,16.52%,85585773
2026-06-20 14:05 ET,UUUU,16.56,8.24%,28609661
2026-06-20 14:05 ET,AAT,24.05,0.84%,940163
2026-06-20 14:05 ET,ABCB,87.59,1.84%,1381698
2026-06-20 14:05 ET,ABG,197.05,3.64%,530178
2026-06-20 14:05 ET,ABNB,142.41,1.33%,7413230
2026-06-20 14:05 ET,ABTC,0.85,0.90%,37288197
2026-06-20 14:05 ET,ABUS,4.55,2.71%,5045877
2026-06-20 14:05 ET,ACA,135.84,2.04%,686892
2026-06-20 14:05 ET,ACH,3.23,2.22%,2196336
2026-06-20 14:05 ET,ACLO,50.42,0.09%,135092
2026-06-20 14:17 ET,ACON,3.12,0.32%,227837
2026-06-20 14:17 ET,AIBZ,9.02,2.85%,661527
2026-06-20 14:17 ET,ALOT,28.57,0.78%,1027282
2026-06-20 14:17 ET,ARDX,6.05,3.60%,9839094
2026-06-20 14:17 ET,BFLY,8.90,55.87%,60481423
2026-06-20 14:17 ET,CAT,985.82,3.13%,6175063
2026-06-20 14:17 ET,DIS,103.89,3.00%,22943658
2026-06-20 14:17 ET,HQ,32.00,35.54%,8691692
2026-06-20 14:17 ET,MRNA,63.96,3.50%,24078835
2026-06-20 14:17 ET,QS,8.04,16.52%,85585773
2026-06-20 14:17 ET,UUUU,16.56,8.24%,28609661
2026-06-20 14:17 ET,AAT,24.05,0.84%,940163
2026-06-20 14:17 ET,ABCB,87.59,1.84%,1381698
2026-06-20 14:17 ET,ABG,197.05,3.64%,530178
2026-06-20 14:17 ET,ABNB,142.41,1.33%,7413230
2026-06-20 14:17 ET,ABTC,0.85,0.90%,37288197
2026-06-20 14:17 ET,ABUS,4.55,2.71%,5045877
2026-06-20 14:17 ET,ACA,135.84,2.04%,686892
2026-06-20 14:17 ET,ACH,3.23,2.22%,2196336
2026-06-20 14:17 ET,ACLO,50.42,0.09%,135092
2026-06-20 14:22 ET,ACON,3.12,0.32%,227837
2026-06-20 14:22 ET,AIBZ,9.02,2.85%,661527
2026-06-20 14:22 ET,ALOT,28.57,0.78%,1027282
2026-06-20 14:22 ET,ARDX,6.05,3.60%,9839094
2026-06-20 14:22 ET,BFLY,8.90,55.87%,60481423
2026-06-20 14:22 ET,CAT,985.82,3.13%,6175063
2026-06-20 14:22 ET,DIS,103.89,3.00%,22943658
2026-06-20 14:22 ET,HQ,32.00,35.54%,8691692
2026-06-20 14:22 ET,MRNA,63.96,3.50%,24078835
2026-06-20 14:22 ET,QS,8.04,16.52%,85585773
2026-06-20 14:22 ET,UUUU,16.56,8.24%,28609661
2026-06-20 14:22 ET,AAT,24.05,0.84%,940163
2026-06-20 14:22 ET,ABCB,87.59,1.84%,1381698
2026-06-20 14:22 ET,ABG,197.05,3.64%,530178
2026-06-20 14:22 ET,ABNB,142.41,1.33%,7413230
2026-06-20 14:22 ET,ABTC,0.85,0.90%,37288197
2026-06-20 14:22 ET,ABUS,4.55,2.71%,5045877
2026-06-20 14:22 ET,ACA,135.84,2.04%,686892
2026-06-20 14:22 ET,ACH,3.23,2.22%,2196336
2026-06-20 14:22 ET,ACLO,50.42,0.09%,135092
2026-06-20 14:27 ET,ACON,3.12,0.32%,227837
2026-06-20 14:27 ET,AIBZ,9.02,2.85%,661527
2026-06-20 14:27 ET,ALOT,28.57,0.78%,1027282
2026-06-20 14:27 ET,ARDX,6.05,3.60%,9839094
2026-06-20 14:27 ET,BFLY,8.90,55.87%,60481423
